assortativity_min,assortativity_max,assortativity_avg,assortativity_std,assortativity_median,average_neighbor_degree_min,average_neighbor_degree_max,average_neighbor_degree_avg,average_neighbor_degree_std,average_neighbor_degree_median,clustering_min,clustering_max,clustering_avg,clustering_std,clustering_median,degree_min,degree_max,degree_avg,degree_std,degree_median,degree_centrality_min,degree_centrality_max,degree_centrality_avg,degree_centrality_std,degree_centrality_median,diameter_min,diameter_max,diameter_avg,diameter_std,diameter_median,eigenvector_min,eigenvector_max,eigenvector_avg,eigenvector_std,eigenvector_median,nb_of_edges_min,nb_of_edges_max,nb_of_edges_avg,nb_of_edges_std,nb_of_edges_median,nb_of_nodes_min,nb_of_nodes_max,nb_of_nodes_avg,nb_of_nodes_std,nb_of_nodes_median,node_clique_number_min,node_clique_number_max,node_clique_number_avg,node_clique_number_std,node_clique_number_median,number_of_cliques_min,number_of_cliques_max,number_of_cliques_avg,number_of_cliques_std,number_of_cliques_median,pagerank_min,pagerank_max,pagerank_avg,pagerank_std,pagerank_median,percolation_limit_min,percolation_limit_max,percolation_limit_avg,percolation_limit_std,percolation_limit_median,triangles_min,triangles_max,triangles_avg,triangles_std,triangles_median
-0.13817096628218464,-0.13792135010296133,-0.13809148759028264,5.7167671230045514E-5,-0.13810683947300106,852.771940597399,853.4257362591818,853.119599976522,0.17093726285166633,853.088648906983,0.15422714370849555,0.15545533181023052,0.15478843245879537,2.6272724614746795E-4,0.15475402299062777,4.261244435706963,4.262254075323216,4.2617723321320025,2.7575472503212984E-4,4.2617781181840755,5.983655455384109E-5,5.990218224921559E-5,5.9888011618520016E-5,1.6890206881107783E-8,5.9892993052899855E-5,14.0,14.0,14.0,0.0,14.0,0.001021918168489869,0.001023103550730468,0.0010226846019820073,2.791020998462634E-7,0.0010226880682436168,151607.0,151780.0,151641.03333333333,41.121138391319334,151632.0,71152.0,71224.0,71163.36666666667,19.147922546665434,71157.0,2.5164787328156377,2.5205874086565485,2.517735718361499,9.453485605750944E-4,2.5174194727112935,6.159204609331085,6.289427127211457,6.200709727540628,0.030858991470286104,6.196613148863237,1.4040211164775896E-5,1.4054418709242174E-5,1.4052174847622587E-5,3.778547416156683E-9,1.405343114521411E-5,0.9984024844804785,0.998403773492349,0.9984031746171033,3.262624538249775E-7,0.9984031913819758,6.545869433951666,6.588652781291284,6.560754650369186,0.010275112630403477,6.557446510864189
-0.13859138889502584,-0.1383194106927488,-0.13840885294283453,7.443346737831031E-5,-0.13837056141983872,850.241482712883,851.2520583667426,850.6716946819673,0.24261596643456904,850.6491637700435,0.15446228097525852,0.15498432783124902,0.15467271738033325,1.6664330635629554E-4,0.15460700238413638,4.265196478298782,4.267477459764627,4.2663267242765945,5.14771845324347E-4,4.266333152275104,5.991144561778029E-5,5.9990123684493704E-5,5.993732254520741E-5,2.593678906227606E-8,5.9921017078504475E-5,14.0,14.0,14.0,0.0,14.0,0.0010201304944150826,0.00102164300085648,0.0010207868930809409,3.2475575032601297E-7,0.0010207897107848039,151632.0,151944.0,151840.31666666668,91.14571899107003,151896.5,71102.0,71213.0,71180.81666666667,36.23814436951535,71204.0,2.5183614430760155,2.5227719988754567,2.5193936531756695,0.0010053091298628917,2.5190152515387494,6.183690395861449,6.289606117686749,6.217321422307232,0.02207820523636131,6.2162192749647165,1.4042379902545842E-5,1.4064301988692299E-5,1.404873253465731E-5,7.154606070280439E-9,1.4044154822762759E-5,0.9984000276847604,0.9984019615947244,0.9984008096735294,3.925906844259664E-7,0.9984007651757917,6.584200547714346,6.629238122012932,6.5969376343317245,0.010406030899796569,6.592381940096964
-0.1385094986198837,-0.138354117886277,-0.13840890847057816,4.356987412945046E-5,-0.13839425914711367,850.5209373847389,851.1255314515269,850.895443705142,0.1313540736979412,850.9074164880749,0.15519232904603658,0.15550662921393274,0.155320625981647,7.988475438608804E-5,0.15531508950355374,4.266370823912708,4.269727604605448,4.268370889079256,0.0010815184414017336,4.269023914226022,5.991420660477345E-5,5.995716822513748E-5,5.9938295638302916E-5,1.329907479986861E-8,5.9945344760372265E-5,14.0,14.0,14.0,0.0,14.0,0.0010197402269041674,0.0010205208776073087,0.0010201670383667555,1.9054819354493018E-7,0.0010201705918761296,151902.0,152045.0,151983.35,44.04690296737962,152008.5,71207.0,71221.0,71213.75,3.496366152331366,71214.0,2.521001558791726,2.522131101499747,2.521321139845611,1.905098248335154E-4,2.5212879490155826,6.182561193107613,6.3046268342343605,6.194388195920331,0.022931587718849133,6.186648693103959,1.4040802572275026E-5,1.4043563132838042E-5,1.4042232046062883E-5,6.894258050159091E-10,1.4042182716881508E-5,0.998399753846501,0.9984009012948705,0.9984003842033616,2.518675004856923E-7,0.9984003743007919,6.614659832900372,6.634360738608439,6.620638834775727,0.003698626073301089,6.619870399460911
-0.13821476149108539,-0.13813381283335951,-0.13816925524165952,2.0590274021039527E-5,-0.13816474311042742,853.2079380575107,854.0700728498805,853.4963490672475,0.16423121635850982,853.4900023912422,0.1547262853834958,0.15513745228909256,0.1548416803300017,9.124675520806858E-5,0.15480687139345803,4.268139952824891,4.269366320785184,4.268713309740504,2.670455028604417E-4,4.268707220005948,5.992642759817603E-5,5.99584130495182E-5,5.99402290429453E-5,6.9350507718541E-9,5.993968011764706E-5,14.0,14.0,14.0,0.0,14.0,0.0010210249776462727,0.0010219308471738687,0.0010215528167308368,1.8734357400044758E-7,0.0010215347494881557,151984.0,152030.0,152002.83333333334,11.596560955242051,152002.5,71204.0,71229.0,71217.16666666667,5.371508851768416,71218.0,2.5192086270324916,2.524760955336207,2.5196649628616923,7.819211971672869E-4,2.5194523437257708,6.147372263798599,6.217739897216996,6.1621702532661695,0.01817799093498645,6.15530545063979,1.4039225596316087E-5,1.404415482276278E-5,1.4041558410695156E-5,1.0591119470897756E-9,1.4041394029599278E-5,0.9984052607895486,0.9984067715442421,0.9984056399447285,3.1427569010160474E-7,0.9984056004764266,6.5771228799281145,6.629463220117662,6.5856762275802545,0.007581419857339835,6.583873345995668
-0.13837907974164274,-0.1381005686103085,-0.1382586262118854,7.877063089813798E-5,-0.13826499646733872,851.8092571238793,853.7272550406358,852.5405153798533,0.5500831064208566,852.4527039185854,0.15436198649664482,0.15521158455213882,0.15484592955852883,2.6811962615460385E-4,0.15473787152606477,4.2641000421525925,4.268933279054424,4.266618087337007,0.0010924134110082634,4.26653658323098,5.987120847371374E-5,5.995280129370243E-5,5.991767360834284E-5,2.2404057760369494E-8,5.991754892358989E-5,14.0,14.0,14.0,0.0,14.0,0.0010208901359944316,0.0010224948652593276,0.0010216766139393733,4.122780926176366E-7,0.001021640704710581,151738.0,152053.0,151910.85,99.35381476556528,151940.0,71161.0,71241.0,71209.01666666666,33.26345358847717,71232.0,2.519191890829449,2.5258296367005446,2.5203738514120233,8.788073593649859E-4,2.5202835987238625,5.990019091470605,6.234059294646621,6.162860195220764,0.027007388927008172,6.162892876959274,1.40368607964515E-5,1.4052641193912408E-5,1.4043168427513673E-5,6.5611060673870816E-9,1.4038634332720311E-5,0.9984015415174025,0.9984059925028927,0.9984029652536109,1.3033184317317375E-6,0.9984025688870902,6.584180378502836,6.609357875509343,6.593243933827476,0.004819479852477991,6.592775105946895
-0.1385415539228041,-0.13845622480549064,-0.13849707635185193,1.917345872854106E-5,-0.13849759865947253,855.9210753629405,856.4678562616074,856.1807190740959,0.13064963169231517,856.1655489876287,0.15419943956878315,0.15466632821973927,0.1543043451664045,6.631119261004098E-5,0.15428904377542962,4.270886253596239,4.2720051644773775,4.271385213510649,2.3347912837547256E-4,4.271385768329235,5.9936395092322455E-5,5.995515600300037E-5,5.994389585539563E-5,4.462072964115911E-9,5.994403889699948E-5,14.0,14.0,14.0,0.0,14.0,0.0010149509875883522,0.0010158857986939142,0.001015439634823223,2.0695417121002563E-7,0.0010154639634575265,152161.0,152203.0,152183.86666666667,8.335073264675485,152184.0,71251.0,71262.0,71257.38333333333,2.5517801474505313,71258.0,2.519168701411692,2.521646388526362,2.519639722890043,7.362936973145843E-4,2.5193522131000914,6.162896118112667,6.289695625938451,6.220506714045574,0.025186332993715276,6.219878613502419,1.4032724313098124E-5,1.4034890738375623E-5,1.4033633491468126E-5,5.025602310503609E-10,1.4033512026719815E-5,0.9984115833459822,0.99841249210268,0.9984120252074402,2.0135726109994974E-7,0.9984119967017824,6.5698026888209045,6.593777628089083,6.576749119140389,0.006410252032477633,6.574547062175162
-0.13862805392760466,-0.13844251948519362,-0.13858537459936796,2.7611478249267158E-5,-0.1385874446964932,855.5960224952365,857.1988643372055,855.9666195930788,0.23552049925122892,855.9221189628845,0.15431166448755093,0.1547555168808933,0.15452753314411258,9.671783673541178E-5,0.15454841728713742,4.270585923243213,4.272198983745543,4.271330316435022,4.490785367712811E-4,4.271315870796606,5.994479952780668E-5,5.997234563446179E-5,5.995859412946115E-5,7.423182054797416E-9,5.9958444632811944E-5,14.0,14.0,14.0,0.0,14.0,0.0010147120604158577,0.0010158810816562462,0.0010152276657653535,2.555526999563002E-7,0.001015171191733132,152114.0,152180.0,152142.65,15.071383817330481,152142.0,71232.0,71244.0,71239.0,2.773971026203951,71240.0,2.519440233563528,2.52292187192948,2.520839006968255,0.0010811704741161545,2.5203759335207767,6.161961846741251,6.348334479709148,6.233744955998579,0.041732991869407876,6.254076119466112,1.4036269720958947E-5,1.4038634321653187E-5,1.4037254895366314E-5,5.466071610588079E-10,1.4037057832678284E-5,0.9984115493187413,0.9984145137844878,0.9984120255660588,4.692070172938196E-7,0.9984119060391871,6.572076245017124,6.6126809000435145,6.5910164365208,0.010312636080415284,6.589908266537497
-0.1387085872794113,-0.13855658111218042,-0.13862252789577859,4.3130207096421076E-5,-0.13861025926383114,856.8293202416418,858.0477929680317,857.3453025381982,0.3710038074003449,857.2145989832834,0.1541565301698844,0.1544878787985465,0.15434349804891662,7.659483613203976E-5,0.15435773213091541,4.268346819510002,4.270466030320045,4.269320715573167,4.6059690838958666E-4,4.269299086148415,5.991474671794107E-5,5.9976898567496726E-5,5.994375634390893E-5,1.9799023280016408E-8,5.993516127276283E-5,14.0,14.0,14.0,0.0,14.0,0.0010140842300147828,0.0010155359139632195,0.0010147459043147017,4.2201614773952616E-7,0.0010146223439110702,151919.0,152114.0,152037.16666666666,65.96433722333134,152071.0,71183.0,71247.0,71223.11666666667,26.363233043323156,71241.0,2.5196575198259525,2.522605095094393,2.520454790751174,8.624495386605829E-4,2.520108120904942,6.183161854497985,6.3377395066584254,6.247949423390741,0.03223956766894509,6.254825035442078,1.4035678695243303E-5,1.4048298048691408E-5,1.4040387188304597E-5,5.1982175725429525E-9,1.4036860796451482E-5,0.9984117912228682,0.9984135497686774,0.9984126387549963,5.463147237006298E-7,0.9984124528075657,6.582645556117006,6.61844339953681,6.595370022871733,0.00861661986157943,6.592247659240323
-0.13895482379058113,-0.138621131855771,-0.13877115780685959,9.763207576733525E-5,-0.1387323173963404,851.1096530052921,852.4015159534546,851.6533794903428,0.364053944023396,851.4951593723439,0.1535620509168753,0.15414251132377477,0.1537843990432277,1.3505883558939118E-4,0.15375843907482037,4.266814444849743,4.271631982475356,4.269473523512138,8.064537653082958E-4,4.269536281423816,5.9862430305003635E-5,5.998387910178418E-5,5.9919800535381325E-5,3.2804441947600916E-8,5.9902483917259234E-5,14.0,14.0,14.0,0.0,14.0,0.0010116645964970404,0.0010141545759987883,0.0010135744330065704,4.0903790086083463E-7,0.001013602401192157,152020.0,152200.0,152108.85,69.34898848140763,152112.5,71211.0,71291.0,71254.15,33.27381267859083,71280.5,2.518440552374537,2.521561035827512,2.519346743467057,8.419019441811773E-4,2.5190547068224873,6.198504447375067,6.37734842315145,6.271314328149846,0.037116474120661866,6.272792376827928,1.4027016032879366E-5,1.4042774290488832E-5,1.4034273294270555E-5,6.554274814340643E-9,1.4029082304839292E-5,0.9984037051245052,0.9984056354356304,0.9984045617133105,5.466489452011684E-7,0.9984044122324431,6.575386471396908,6.626632403740837,6.589590048430442,0.010679312983948254,6.587268546447884
-0.13842955166958726,-0.13796505066498754,-0.13818947336327533,1.1174649361668256E-4,-0.1382145503182508,854.6112140669172,855.8738260065644,854.9989561765026,0.34182013283048346,854.8821606818722,0.1537038944822616,0.15453274594858235,0.1538819201740707,1.4308534410796336E-4,0.15387510521809594,4.268299525853604,4.272705595219727,4.270718525834468,0.001588411546278229,4.270701498606431,5.986898157297492E-5,5.9978722235780636E-5,5.991609146627464E-5,3.24629846457487E-8,5.992712097251767E-5,14.0,14.0,14.0,0.0,14.0,0.0010172312963855977,0.0010213506154725168,0.001019051070286376,1.378890076319594E-6,0.0010189154038998311,152050.0,152307.0,152206.98333333334,77.20487638650502,152191.0,71228.0,71300.0,71279.33333333333,26.385452249224205,71292.0,2.5165371560019074,2.5201813867947043,2.517870527434218,8.407034653415883E-4,2.517866535677703,6.191580984977066,6.327254874456446,6.240876772169819,0.027361561965208253,6.240365439098165,1.4025245441795211E-5,1.403942269893862E-5,1.4029313800209412E-5,5.1955849173376096E-9,1.402681927846042E-5,0.9984089112345641,0.9984118667074896,0.9984099683976252,6.756152260391597E-7,0.9984099945167422,6.506367997306926,6.574092013084559,6.5379421635454475,0.01576401076799031,6.541803138294316
